"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2012/01/01","00:00","0.322","-","0.526"
"2012/01/01","01:00","0.356","-","0.567"
"2012/01/01","02:00","0.281","-","0.487"
"2012/01/01","03:00","0.123","-","0.353"
"2012/01/01","04:00","-0.071","-","0.111"
"2012/01/01","05:00","-0.258","-","-0.153"
"2012/01/01","06:00","-0.401","-","-0.272"
"2012/01/01","07:00","-0.462","-","-0.242"
"2012/01/01","08:00","-0.414","-","-0.175"
"2012/01/01","09:00","-0.268","-","-0.031"
"2012/01/01","10:00","-0.074","-","0.14"
"2012/01/01","11:00","0.11","-","0.282"
"2012/01/01","12:00","0.241","-","0.413"
"2012/01/01","13:00","0.288","-","0.444"
"2012/01/01","14:00","0.231","-","0.337"
"2012/01/01","15:00","0.081","-","0.198"
"2012/01/01","16:00","-0.124","-","0.048"
"2012/01/01","17:00","-0.331","-","-0.107"
"2012/01/01","18:00","-0.496","-","-0.263"
"2012/01/01","19:00","-0.579","-","-0.439"
"2012/01/01","20:00","-0.551","-","-0.329"
"2012/01/01","21:00","-0.41","-","-0.201"
"2012/01/01","22:00","-0.194","-","-0.018"
"2012/01/01","23:00","0.035","-","0.145"
"2012/01/02","00:00","0.223","-","0.359"
"2012/01/02","01:00","0.337","-","0.453"
"2012/01/02","02:00","0.357","-","0.362"
"2012/01/02","03:00","0.278","-","0.305"
"2012/01/02","04:00","0.122","-","0.082"
"2012/01/02","05:00","-0.07","-","-0.185"
"2012/01/02","06:00","-0.251","-","-0.389"
"2012/01/02","07:00","-0.385","-","-0.465"
"2012/01/02","08:00","-0.442","-","-0.507"
"2012/01/02","09:00","-0.4","-","-0.446"
"2012/01/02","10:00","-0.266","-","-0.303"
"2012/01/02","11:00","-0.088","-","-0.151"
"2012/01/02","12:00","0.077","-","0.06"
"2012/01/02","13:00","0.189","-","0.042"
"2012/01/02","14:00","0.225","-","0.137"
"2012/01/02","15:00","0.169","-","0.09"
"2012/01/02","16:00","0.022","-","-0.014"
"2012/01/02","17:00","-0.175","-","-0.198"
"2012/01/02","18:00","-0.366","-","-0.461"
"2012/01/02","19:00","-0.506","-","-0.606"
"2012/01/02","20:00","-0.565","-","-0.652"
"2012/01/02","21:00","-0.518","-","-0.525"
"2012/01/02","22:00","-0.362","-","-0.357"
"2012/01/02","23:00","-0.139","-","-0.15"
"2012/01/03","00:00","0.086","-","0.087"
"2012/01/03","01:00","0.262","-","0.276"
"2012/01/03","02:00","0.367","-","0.358"
"2012/01/03","03:00","0.381","-","0.375"
"2012/01/03","04:00","0.293","-","0.278"
"2012/01/03","05:00","0.124","-","0.081"
"2012/01/03","06:00","-0.075","-","-0.093"
"2012/01/03","07:00","-0.257","-","-0.277"
"2012/01/03","08:00","-0.394","-","-0.414"
"2012/01/03","09:00","-0.455","-","-0.487"
"2012/01/03","10:00","-0.413","-","-0.429"
"2012/01/03","11:00","-0.278","-","-0.253"
"2012/01/03","12:00","-0.106","-","-0.039"
"2012/01/03","13:00","0.05","-","0.161"
"2012/01/03","14:00","0.159","-","0.168"
"2012/01/03","15:00","0.196","-","0.265"
"2012/01/03","16:00","0.135","-","0.19"
"2012/01/03","17:00","-0.019","-","0.006"
