"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2011/01/01","00:00","-0.477","-","-0.421"
"2011/01/01","01:00","-0.157","-","-0.009"
"2011/01/01","02:00","0.182","-","0.333"
"2011/01/01","03:00","0.475","-","0.587"
"2011/01/01","04:00","0.666","-","0.758"
"2011/01/01","05:00","0.707","-","0.767"
"2011/01/01","06:00","0.582","-","0.704"
"2011/01/01","07:00","0.327","-","0.459"
"2011/01/01","08:00","0.001","-","0.118"
"2011/01/01","09:00","-0.333","-","-0.242"
"2011/01/01","10:00","-0.602","-","-0.552"
"2011/01/01","11:00","-0.727","-","-0.703"
"2011/01/01","12:00","-0.676","-","-0.643"
"2011/01/01","13:00","-0.482","-","-0.343"
"2011/01/01","14:00","-0.221","-","-0.052"
"2011/01/01","15:00","0.038","-","0.221"
"2011/01/01","16:00","0.237","-","0.434"
"2011/01/01","17:00","0.324","-","0.533"
"2011/01/01","18:00","0.27","-","0.437"
"2011/01/01","19:00","0.092","-","0.198"
"2011/01/01","20:00","-0.164","-","-0.102"
"2011/01/01","21:00","-0.44","-","-0.33"
"2011/01/01","22:00","-0.667","-","-0.514"
"2011/01/01","23:00","-0.77","-","-0.611"
"2011/01/02","00:00","-0.696","-","-0.523"
"2011/01/02","01:00","-0.456","-","-0.266"
"2011/01/02","02:00","-0.116","-","0.076"
"2011/01/02","03:00","0.238","-","0.37"
"2011/01/02","04:00","0.535","-","0.626"
"2011/01/02","05:00","0.712","-","0.796"
"2011/01/02","06:00","0.729","-","0.806"
"2011/01/02","07:00","0.581","-","0.606"
"2011/01/02","08:00","0.301","-","0.318"
"2011/01/02","09:00","-0.05","-","-0.022"
"2011/01/02","10:00","-0.399","-","-0.322"
"2011/01/02","11:00","-0.664","-","-0.572"
"2011/01/02","12:00","-0.772","-","-0.68"
"2011/01/02","13:00","-0.698","-","-0.555"
"2011/01/02","14:00","-0.479","-","-0.287"
"2011/01/02","15:00","-0.194","-","0.044"
"2011/01/02","16:00","0.076","-","0.344"
"2011/01/02","17:00","0.27","-","0.541"
"2011/01/02","18:00","0.342","-","0.559"
"2011/01/02","19:00","0.271","-","0.411"
"2011/01/02","20:00","0.073","-","0.132"
"2011/01/02","21:00","-0.203","-","-0.178"
"2011/01/02","22:00","-0.487","-","-0.367"
"2011/01/02","23:00","-0.705","-","-0.528"
"2011/01/03","00:00","-0.784","-","-0.599"
"2011/01/03","01:00","-0.68","-","-0.586"
"2011/01/03","02:00","-0.408","-","-0.452"
"2011/01/03","03:00","-0.046","-","-0.157"
"2011/01/03","04:00","0.313","-","0.177"
"2011/01/03","05:00","0.594","-","0.53"
"2011/01/03","06:00","0.743","-","0.923"
"2011/01/03","07:00","0.727","-","0.885"
"2011/01/03","08:00","0.543","-","0.731"
"2011/01/03","09:00","0.23","-","0.344"
"2011/01/03","10:00","-0.14","-","-0.178"
"2011/01/03","11:00","-0.486","-","-0.557"
"2011/01/03","12:00","-0.729","-","-0.747"
"2011/01/03","13:00","-0.803","-","-0.757"
"2011/01/03","14:00","-0.687","-","-0.582"
"2011/01/03","15:00","-0.432","-","-0.32"
"2011/01/03","16:00","-0.132","-","-0.013"
"2011/01/03","17:00","0.134","-","0.199"
"2011/01/03","18:00","0.31","-","0.38"
"2011/01/03","19:00","0.358","-","0.361"
"2011/01/03","20:00","0.257","-","0.315"
"2011/01/03","21:00","0.028","-","0.068"
"2011/01/03","22:00","-0.264","-","-0.22"
"2011/01/03","23:00","-0.544","-","-0.51"
"2011/01/04","00:00","-0.739","-","-0.665"
"2011/01/04","01:00","-0.782","-","-0.738"
"2011/01/04","02:00","-0.634","-","-0.541"
"2011/01/04","03:00","-0.327","-","-0.195"
"2011/01/04","04:00","0.047","-","0.214"
"2011/01/04","05:00","0.39","-","0.511"
"2011/01/04","06:00","0.64","-","0.753"
"2011/01/04","07:00","0.752","-","0.891"
"2011/01/04","08:00","0.69","-","0.85"
"2011/01/04","09:00","0.46","-","0.611"
"2011/01/04","10:00","0.119","-","0.254"
"2011/01/04","11:00","-0.253","-","-0.171"
"2011/01/04","12:00","-0.578","-","-0.473"
"2011/01/04","13:00","-0.782","-","-0.745"
"2011/01/04","14:00","-0.801","-","-0.804"
"2011/01/04","15:00","-0.633","-","-0.626"
"2011/01/04","16:00","-0.35","-","-0.45"
"2011/01/04","17:00","-0.05","-","-0.057"
"2011/01/04","18:00","0.198","-","0.142"
"2011/01/04","19:00","0.348","-","0.24"
"2011/01/04","20:00","0.359","-","0.304"
"2011/01/04","21:00","0.215","-","0.166"
"2011/01/04","22:00","-0.041","-","-0.089"
"2011/01/04","23:00","-0.336","-","-0.377"
"2011/01/05","00:00","-0.597","-","-0.604"
"2011/01/05","01:00","-0.757","-","-0.771"
"2011/01/05","02:00","-0.749","-","-0.801"
"2011/01/05","03:00","-0.551","-","-0.584"
"2011/01/05","04:00","-0.22","-","-0.219"
"2011/01/05","05:00","0.143","-","0.102"
"2011/01/05","06:00","0.457","-","0.397"
"2011/01/05","07:00","0.667","-","0.593"
"2011/01/05","08:00","0.727","-","0.738"
"2011/01/05","09:00","0.609","-","0.652"
"2011/01/05","10:00","0.337","-","0.331"
"2011/01/05","11:00","-0.016","-","-0.002"
"2011/01/05","12:00","-0.372","-","-0.287"
"2011/01/05","13:00","-0.66","-","-0.582"
"2011/01/05","14:00","-0.804","-","-0.724"
"2011/01/05","15:00","-0.757","-","-0.701"
"2011/01/05","16:00","-0.544","-","-0.477"
"2011/01/05","17:00","-0.251","-","-0.144"
"2011/01/05","18:00","0.036","-","0.193"
"2011/01/05","19:00","0.26","-","0.33"
"2011/01/05","20:00","0.371","-","0.458"
"2011/01/05","21:00","0.332","-","0.428"
"2011/01/05","22:00","0.149","-","0.254"
"2011/01/05","23:00","-0.121","-","0.057"
"2011/01/06","00:00","-0.406","-","-0.207"
"2011/01/06","01:00","-0.636","-","-0.387"
"2011/01/06","02:00","-0.744","-","-0.517"
"2011/01/06","03:00","-0.678","-","-0.401"
"2011/01/06","04:00","-0.442","-","-0.198"
"2011/01/06","05:00","-0.109","-","0.124"
"2011/01/06","06:00","0.229","-","0.482"
"2011/01/06","07:00","0.504","-","0.763"
"2011/01/06","08:00","0.662","-","0.978"
"2011/01/06","09:00","0.66","-","0.982"
"2011/01/06","10:00","0.489","-","0.803"
"2011/01/06","11:00","0.192","-","0.477"
"2011/01/06","12:00","-0.157","-","0.174"
"2011/01/06","13:00","-0.482","-","-0.167"
"2011/01/06","14:00","-0.712","-","-0.406"
"2011/01/06","15:00","-0.783","-","-0.416"
"2011/01/06","16:00","-0.677","-","-0.335"
"2011/01/06","17:00","-0.437","-","-0.069"
"2011/01/06","18:00","-0.146","-","0.248"
"2011/01/06","19:00","0.121","-","0.488"
"2011/01/06","20:00","0.307","-","0.616"
"2011/01/06","21:00","0.367","-","0.706"
"2011/01/06","22:00","0.281","-","0.616"
"2011/01/06","23:00","0.071","-","0.434"
"2011/01/07","00:00","-0.201","-","0.18"
"2011/01/07","01:00","-0.462","-","-0.033"
"2011/01/07","02:00","-0.646","-","-0.177"
"2011/01/07","03:00","-0.695","-","-0.247"
"2011/01/07","04:00","-0.581","-","-0.108"
"2011/01/07","05:00","-0.329","-","0.122"
"2011/01/07","06:00","-0.009","-","0.442"
"2011/01/07","07:00","0.296","-","0.778"
"2011/01/07","08:00","0.52","-","1.007"
"2011/01/07","09:00","0.616","-","1.119"
"2011/01/07","10:00","0.556","-","1.028"
"2011/01/07","11:00","0.347","-","0.773"
"2011/01/07","12:00","0.039","-","0.445"
"2011/01/07","13:00","-0.29","-","0.095"
"2011/01/07","14:00","-0.565","-","-0.178"
"2011/01/07","15:00","-0.723","-","-0.277"
"2011/01/07","16:00","-0.727","-","-0.246"
"2011/01/07","17:00","-0.578","-","-0.083"
"2011/01/07","18:00","-0.323","-","0.123"
"2011/01/07","19:00","-0.042","-","0.417"
"2011/01/07","20:00","0.192","-","0.573"
"2011/01/07","21:00","0.329","-","0.712"
"2011/01/07","22:00","0.341","-","0.773"
"2011/01/07","23:00","0.219","-","0.679"
"2011/01/08","00:00","-0.007","-","0.394"
"2011/01/08","01:00","-0.269","-","0.192"
"2011/01/08","02:00","-0.493","-","-0.009"
"2011/01/08","03:00","-0.622","-","-0.155"
"2011/01/08","04:00","-0.621","-","-0.119"
"2011/01/08","05:00","-0.479","-","-0.012"
"2011/01/08","06:00","-0.224","-","0.202"
"2011/01/08","07:00","0.073","-","0.583"
"2011/01/08","08:00","0.333","-","0.807"
"2011/01/08","09:00","0.498","-","0.978"
"2011/01/08","10:00","0.535","-","1.045"
"2011/01/08","11:00","0.43","-","0.88"
"2011/01/08","12:00","0.196","-","0.681"
"2011/01/08","13:00","-0.107","-","0.331"
